Percentage served,Time in ms
0,0.356
1,1.308
2,1.342
3,1.363
4,1.378
5,1.390
6,1.400
7,1.409
8,1.417
9,1.424
10,1.431
11,1.438
12,1.444
13,1.450
14,1.456
15,1.462
16,1.468
17,1.473
18,1.479
19,1.483
20,1.488
21,1.493
22,1.498
23,1.503
24,1.508
25,1.513
26,1.518
27,1.523
28,1.528
29,1.533
30,1.538
31,1.542
32,1.547
33,1.552
34,1.556
35,1.561
36,1.566
37,1.570
38,1.575
39,1.580
40,1.584
41,1.589
42,1.594
43,1.598
44,1.603
45,1.608
46,1.613
47,1.617
48,1.622
49,1.627
50,1.631
51,1.636
52,1.641
53,1.646
54,1.651
55,1.656
56,1.661
57,1.666
58,1.671
59,1.676
60,1.682
61,1.687
62,1.692
63,1.698
64,1.703
65,1.709
66,1.715
67,1.720
68,1.726
69,1.733
70,1.739
71,1.745
72,1.752
73,1.758
74,1.765
75,1.772
76,1.779
77,1.786
78,1.794
79,1.802
80,1.810
81,1.819
82,1.828
83,1.837
84,1.847
85,1.858
86,1.869
87,1.881
88,1.894
89,1.909
90,1.924
91,1.941
92,1.960
93,1.983
94,2.010
95,2.044
96,2.087
97,2.150
98,2.242
99,2.447
100,10.025
