Percentage served,Time in ms
0,0.062
1,0.069
2,0.070
3,0.070
4,0.071
5,0.071
6,0.072
7,0.072
8,0.072
9,0.073
10,0.073
11,0.074
12,0.074
13,0.074
14,0.075
15,0.075
16,0.075
17,0.075
18,0.076
19,0.076
20,0.076
21,0.076
22,0.077
23,0.077
24,0.077
25,0.077
26,0.077
27,0.078
28,0.078
29,0.078
30,0.078
31,0.078
32,0.078
33,0.079
34,0.079
35,0.079
36,0.079
37,0.079
38,0.080
39,0.080
40,0.080
41,0.080
42,0.080
43,0.080
44,0.081
45,0.081
46,0.081
47,0.081
48,0.081
49,0.082
50,0.082
51,0.082
52,0.082
53,0.083
54,0.083
55,0.083
56,0.083
57,0.084
58,0.084
59,0.084
60,0.084
61,0.085
62,0.085
63,0.085
64,0.086
65,0.086
66,0.086
67,0.087
68,0.087
69,0.088
70,0.088
71,0.089
72,0.089
73,0.090
74,0.090
75,0.091
76,0.092
77,0.093
78,0.093
79,0.094
80,0.096
81,0.097
82,0.097
83,0.098
84,0.100
85,0.101
86,0.103
87,0.105
88,0.107
89,0.109
90,0.111
91,0.114
92,0.116
93,0.119
94,0.123
95,0.127
96,0.133
97,0.141
98,0.152
99,0.173
100,3.398
